Name,RPG,OPP RPG,REB MAR
Wake Forest,41.7,31.8,9.9
Holy Cross,36.6,28.5,8
Vermont,39.4,31.4,8
Kansas,41.7,33.8,7.9
Texas,42.3,34.9,7.4
Utah St.,35.1,28,7
Davidson,41.1,34.3,6.8
Mercer,40.4,33.7,6.7
Pittsburgh,36.7,30,6.6
DePaul,36.9,30.3,6.6
Siena,39.6,33.1,6.5
Arizona,42.8,36.4,6.4
Mississippi St.,37.3,31,6.2
Tennessee Tech,37.4,31.2,6.2
Gonzaga,37.3,31.1,6.2
Hofstra,40.6,34.5,6.1
Murray St.,37.8,31.7,6.1
Connecticut,42.7,36.8,5.9
Marquette,37.2,31.3,5.9
Stanford,38.9,33,5.9
Kentucky,37,31.2,5.9
Xavier,39.5,33.6,5.9
Colorado,42.5,36.7,5.7
Fresno St.,37.8,32,5.7
UCF,36.4,31,5.4
Arkansas,38,32.6,5.4
Michigan St.,34.9,29.5,5.4
San Diego St.,34.8,29.5,5.3
Dayton,36.7,31.4,5.2
George Mason,36.4,31.2,5.2
Tennessee,35.5,30.4,5.1
San Diego,38.1,33,5.1
Green Bay,37.4,32.5,4.9
Colorado St.,35.9,31.1,4.9
Texas-Arlington,36.5,31.6,4.9
Arizona St.,36.5,31.6,4.8
Chattanooga,36.7,31.9,4.8
BYU,35.3,30.6,4.7
Ill.-Chicago,37.8,33.1,4.7
Central Conn. St.,33.5,29,4.4
Wyoming,36.6,32.2,4.4
Northern Ill.,35.6,31.3,4.4
New Orleans,37.5,33.1,4.3
Oklahoma,37.1,32.8,4.3
Memphis,40,35.9,4.1
Wichita St.,35.3,31.3,4
Villanova,38.4,34.3,4
Long Island,40.6,36.6,4
Alabama,37.5,33.5,4
Coastal Caro.,35.9,31.9,4
Santa Clara,36.6,32.8,3.9
Old Dominion,37.9,34,3.9
Kent St.,34.6,30.8,3.8
Valparaiso,35.7,32,3.7
Furman,36.5,32.8,3.6
Georgia Tech,38.8,35.3,3.5
Iowa St.,36.8,33.2,3.5
Iowa,36.4,32.9,3.4
Texas Southern,38,34.6,3.4
Fairfield,37.5,34.1,3.4
Utah,33.6,30.2,3.3
Hartford,36.9,33.6,3.3
Maine,37.9,34.7,3.2
Middle Tenn.,35.2,32,3.2
Syracuse,41.2,38.1,3.1
Missouri St.,35,31.8,3.1
UC Irvine,34.3,31.2,3.1
Western Ky.,36,32.8,3.1
Detroit,33.6,30.6,3
Missouri,39.4,36.4,3
Florida A&M,37.8,34.8,3
George Washington,36.6,33.6,3
East Tenn. St.,38.8,35.8,3
Wisconsin,32.9,29.9,3
Niagara,36.5,33.6,2.9
