team,pool1,pool2
Albany NY,-0.01,-0.1
American Univ,-0.01,-0.1
Arizona,-0.0025,-0.0025
Arizona St,0,0
Baylor,0,0
BYU,-0.005,-0.005
Cal Poly SLO,-0.01,-0.1
Cincinnati,0,0
Coastal Car,-0.01,-0.1
Colorado,-0.005,-0.005
Connecticut,0,0
Creighton,0,0
Dayton,0,0
Delaware,0,0
Duke,0,0
E Kentucky,0,0
Florida,0.005,0.005
Gonzaga,0,0
G Washington,0,0
Harvard,0,0
Iowa,0,0
Iowa St,0,0
Kansas,-0.01,-0.01
Kansas St,0,0
Kentucky,0.0015,0.0015
ULL,0,0
Louisville,0.005,0.005
Manhattan,0,0
Massachusetts,0,0
Memphis,0,0
Mercer,0,0
Michigan,0,0
Michigan St,0.0075,0.0075
WI Milwaukee,-0.01,-0.1
Mt St Mary's,-0.01,-0.1
Nebraska,0,0
New Mexico,0,0
New Mexico St,0,0
North Carolina,0,0
NC Central,0,0
NC State,0,0
N Dakota St,0,0
Ohio St,0,0
Oklahoma,0,0
Oklahoma St,0,0
Oregon,0,0
Pittsburgh,0,0
Providence,0,0
St Joseph's PA,0,0
St Louis,0,0
San Diego St,0,0
Stanford,0,0
SF Austin,0,0
Syracuse,0,0
Tennessee,0,0
Texas,0,0
TX Southern,-0.01,-0.1
Tulsa,0,0
UCLA,0,0
Villanova,-0.0015,-0.0015
Virginia,0,0
VA Commonwealth,0,0
Weber St,-0.01,-0.1
W Michigan,0,0
Wichita St,-0.0025,-0.0025
Wisconsin,0,0
Wofford,-0.01,-0.1
Xavier,0,0
