"id","season","RPG","OPP_RPG","REB.MAR","TOPG","TO.MAR"
502,"H",20.7,29.8,-9.1,11.5,NA
502,"I",21.5,27.8,-6.3,10.8,NA
502,"J",23.1,29.1,-6,9.8,NA
502,"K",24.9,29.3,-4.4,10.8,NA
502,"L",27.5,29.1,-1.6,10.3,NA
502,"M",26.5,31.2,-4.6,12.7,NA
502,"N",28.4,30.7,-2.3,13.1,-1.5
502,"O",27.5,31.2,-3.7,12.7,-0.9
502,"P",29.1,34.5,-5.4,12.1,0.6
502,"Q",28.8,34.2,-5.4,12.8,1.2
502,"R",30,33,-3,11.8,1.2
502,"S",32.4,33.9,-1.5,13.3,-1.5
503,"H",29.6,33.9,-4.2,12.5,NA
503,"I",33.6,35.5,-1.9,14.6,NA
503,"J",33.9,36.3,-2.4,13.4,NA
503,"K",33.5,32.3,1.3,12.5,NA
503,"L",35.1,32.8,2.4,12.5,NA
503,"M",31.4,32,-0.6,12.8,NA
503,"N",33.5,34.4,-0.9,13.8,4.1
503,"O",36.4,33.8,2.6,13.4,1
503,"P",34.5,37.3,-2.8,12.1,2.2
503,"Q",35.7,33.3,2.4,14.1,-0.1
503,"R",38,32,6,13.6,0.2
503,"S",34.9,33.3,1.5,13.2,-0.1
504,"H",37.5,33.5,4,13.3,NA
504,"I",35.3,33.6,1.7,13.3,NA
504,"J",36.9,31.8,5.2,12.6,NA
504,"K",37,32.7,4.3,13.5,NA
504,"L",38.7,34.6,4.1,13.7,NA
504,"M",38.2,35.2,3,13,NA
504,"N",39.5,37,2.5,14.5,-0.1
504,"O",35.2,34.4,0.8,12.8,1.1
504,"P",36.6,33.4,3.2,14.1,1.5
504,"Q",35.2,32.5,2.7,12.9,0.7
504,"R",32.6,33.5,-0.9,12.5,1.8
504,"S",32.8,34.9,-2.1,11.9,0.9
505,"H",36.9,39.7,-2.8,18.7,NA
505,"I",37,38.5,-1.5,16.1,NA
505,"J",38.1,42.5,-4.5,15.3,NA
505,"K",39,41.8,-2.8,16.5,NA
505,"L",35.7,44.1,-8.4,18,NA
505,"M",36.6,38.2,-1.6,16.6,NA
505,"N",35.1,41.2,-6.1,16.6,2.4
505,"O",37.2,42.3,-5.1,16.4,2.5
505,"P",37.8,39.6,-1.8,15.9,0.9
505,"Q",34.5,36.4,-1.9,16.5,-2.2
505,"R",36,36.3,-0.3,14.3,-1.9
505,"S",33.9,38,-4.2,13.3,0.4
506,"H",36,33.7,2.3,16.8,NA
506,"I",34.4,31.8,2.6,16.8,NA
506,"J",33.7,32.1,1.5,15.8,NA
506,"K",35.4,35.4,-0.1,15.8,NA
506,"L",34.4,37.4,-3.1,14,NA
506,"M",38.6,33,5.6,13.5,NA
506,"N",35.6,34.4,1.2,13.6,-0.8
506,"O",35.5,33.7,1.8,16.2,-0.5
506,"P",36.2,35.4,0.9,15.9,-0.2
506,"Q",35.5,37.3,-1.7,15.2,0.5
506,"R",35.6,36.8,-1.1,15,-1.6
506,"S",36.5,36.7,-0.2,12.3,2.5
507,"H",28.6,40.6,-12,12.6,NA
507,"I",32.7,36.6,-3.9,15.8,NA
507,"J",33.7,32.9,0.8,14.8,NA
507,"K",34,31.6,2.4,14.2,NA
507,"L",34,30.5,3.4,13.4,NA
507,"M",37.5,30.2,7.3,14.3,NA
507,"N",38.9,30.2,8.7,15.3,-2.9
507,"O",36.1,33.3,2.8,16.2,-3.9
507,"P",36.1,33.8,2.3,12.8,-2.4
507,"Q",34.5,32.6,1.9,12.6,0.5
507,"R",33.6,30.6,3,13.4,-0.8
507,"S",34.6,31.4,3.2,12.7,-0.8
508,"K",35.4,36.8,-1.4,18.3,NA
508,"L",35.9,36.9,-1,18.7,NA
508,"M",32.9,35.5,-2.6,17.2,NA
508,"N",32,42.6,-10.6,14.7,0.5
508,"O",34.4,42.9,-8.5,20.7,-5
508,"O",34.4,42.9,-8.5,20.7,NA
508,"P",35.4,46.1,-10.6,16.9,-1.5
508,"Q",30.7,36.3,-5.6,15.2,-0.8
508,"R",32.6,36.4,-3.8,15.1,-1.9
508,"S",30.9,34.4,-3.5,11.5,0.9
508,"H",36.3,36.3,0,18.5,NA
508,"I",33,33.9,-0.9,19.3,NA
508,"J",33.1,36.8,-3.7,19.7,NA
509,"K",34.7,33.5,1.2,15.6,NA
509,"L",34.6,32.3,2.3,13.8,NA
509,"M",32,29.6,2.4,13.6,NA
509,"H",33,34.2,-1.2,13.1,NA
509,"I",34.4,31.6,2.8,14.2,NA
509,"J",35.3,32.9,2.4,15,NA
509,"Q",32.6,34.1,-1.5,11.1,-0.1
509,"N",33,30.1,2.9,13.2,-0.4
509,"O",35.4,32.2,3.2,14.8,-5.2
509,"P",33.7,30.6,3.1,11.2,-0.8
509,"R",32.4,31.2,1.2,12.1,-2.8
509,"S",30.1,29.1,1,14,-1.8
510,"N",39.4,31.9,7.5,17.5,NA
510,"H",39.2,38.6,0.6,16.4,NA
510,"I",34.9,39.3,-4.4,16.5,NA
510,"J",35,37.2,-2.2,14.9,NA
510,"K",34.4,36.5,-2.1,15.2,NA
510,"L",34.8,33.3,1.5,14.8,NA
510,"M",35.1,34.1,1,15.2,NA
510,"Q",35.3,35.4,-0.1,14.3,-2.7
510,"N",39.4,31.9,7.5,17.5,-5.2
510,"O",38.4,30.4,8,15.1,-4.3
510,"P",34.4,34.5,-0.1,13,-0.7
510,"R",35.4,35,0.5,13.5,0.1
510,"S",36.4,35.5,0.9,12.1,0.8
511,"N",33.9,31.4,2.4,12.6,-0.7
511,"H",42.8,36.4,6.4,14.8,NA
511,"I",39.6,35.2,4.3,15,NA
511,"J",37,33,4,14.8,NA
511,"K",34.5,35.1,-0.6,13.5,NA
511,"L",37.5,31.5,6,13.7,NA
511,"M",31.1,32.6,-1.6,12.2,NA
511,"Q",35.3,33.5,1.8,12.5,-0.6
511,"R",36.3,30.3,6,13.1,0.7
511,"O",34.3,34.4,-0.2,14.1,-1.2
